,name,url,author,publisher,date,price,rank,comments,quote
129,绿毛水怪,https://book.douban.com/subject/3518332/,王小波,时代文艺出版社,2009-1,30.00元,9.1,22279人评价,我们好象在池塘的水底，从一个月亮走向另一个月亮
130,故事,https://book.douban.com/subject/25976544/,[美] 罗伯特·麦基,天津人民出版社,2014-9,68.00元,9.2,16931人评价,材质、结构、风格和银幕剧作的原理
131,经济学原理（上下）,https://book.douban.com/subject/1028842/,[美] 曼昆,机械工业出版社,2003-8,88.00元,9.1,20726人评价,经济学家们的世界观
132,海的女儿,https://book.douban.com/subject/1765512/,安徒生,上海译文出版社,1978年6月,0.43,9.1,20684人评价, 
133,面纱,https://book.douban.com/subject/26757680/,[英] 威廉·萨默塞特·毛姆,江西人民出版社,2016-4-1,39.8元,9.1,27101人评价, 
134,万水千山走遍,https://book.douban.com/subject/1036490/,三毛,哈尔滨出版社,2003-08,13.80,8.9,43588人评价,从遥远的撒哈拉到敦煌戈壁
135,全球通史(上),https://book.douban.com/subject/1922216/,[美]斯塔夫里阿诺斯,北京大学出版社,2006-1-10,42.00,9.2,16481人评价, 
136,苏菲的世界,https://book.douban.com/subject/2284311/,[挪] 乔斯坦·贾德,作家出版社,2007-10,26.00元,8.8,53494人评价,哲学启蒙书
137,阿勒泰的角落,https://book.douban.com/subject/4881850/,李娟,万卷出版公司,2010-6,25.00元,9.1,18472人评价,白雪和阳光，青草和白桦林
138,长日将尽,https://book.douban.com/subject/30142261/,[英] 石黑一雄,上海译文出版社,2018-5,48,8.9,29324人评价, 
139,我的天才女友,https://book.douban.com/subject/26878124/,[意] 埃莱娜·费兰特,人民文学出版社,2017-1,42.00元,8.7,96871人评价,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争
140,德米安,https://book.douban.com/subject/3578470/,[德] 赫尔曼·黑塞,上海人民出版社,2009-3,25.00元,8.9,30968人评价,少年辛克莱寻找通向自身之路的艰辛历程
141,少年凯歌,https://book.douban.com/subject/1091203/,陈凯歌,人民文学出版社,2001-6,10.00元,9.3,12949人评价, 
142,史蒂夫·乔布斯传,https://book.douban.com/subject/6798611/,[美] 沃尔特·艾萨克森,中信出版社,2011-10-24,68.00元,8.7,57699人评价,完美主义者的最高形态
143,温柔的夜,https://book.douban.com/subject/2068249/,三毛,北京十月文艺出版社,2007-5,28.00元,9.1,21857人评价,三毛在加纳利群岛的生活
144,爱的艺术,https://book.douban.com/subject/3026879/,[美] 艾·弗洛姆,上海译文出版社,2008-4,15.00元,8.8,43074人评价,谦恭地、勇敢地、真诚地和有纪律地爱他人
145,13 67,https://book.douban.com/subject/25897884/,陈浩基,皇冠文化出版有限公司,2014-6-9,NT$350,9.1,17184人评价, 
146,不能承受的生命之轻,https://book.douban.com/subject/4920007/,米兰·昆德拉,上海译文出版社,2010-8,29.00元,8.8,42940人评价, 
147,遥远的向日葵地,https://book.douban.com/subject/27184303/,李娟,花城出版社,2017-11,38.00元,9.1,21275人评价, 
148,霸王别姬,https://book.douban.com/subject/1088711/,李碧华,人民文学出版社,1999-1,10.20元,9.1,20405人评价,人间，只是抹去了脂粉的脸
149,一句顶一万句,https://book.douban.com/subject/3633461/,刘震云,长江文艺出版社,2009-3,29.80,8.8,63594人评价,一句胜过千年
150,古文观止,https://book.douban.com/subject/1014561/,吴楚材,中华书局,1987-1-1,21.00元,9.1,17834人评价,收录自先秦至明末的散文二百二十二篇
151,亮剑,https://book.douban.com/subject/1088022/,都梁,解放军文艺出版社,2005-3,28.00元,9.0,28054人评价,面对强大的对手，明知不敌，也要毅然亮剑
152,球状闪电,https://book.douban.com/subject/1192090/,刘慈欣,四川科学技术出版社,2005-6,22.00元,8.7,77154人评价,量子之外，没有真相
153,我也有一个梦想,https://book.douban.com/subject/1014825/,林达,生活·读书·新知三联书店,2004-08,25.00元,9.0,15270人评价,在法治国家里，民众怎样运用法律
154,可能性的艺术,https://book.douban.com/subject/35819419/,刘瑜,广西师范大学出版社,2022-4,82.00元,9.1,17358人评价, 
155,强风吹拂,https://book.douban.com/subject/26210487/,三浦紫苑,广西师范大学出版社,2015-1-1,39.00元,9.0,21838人评价,明明这么痛苦，这么难过，为什么就是不能放弃跑步？
156,我不知道该说什么，关于死亡还是爱情,https://book.douban.com/subject/25884880/,[白俄] S·A·阿列克谢耶维奇,花城出版社,2014-6-15,34.80元,9.1,18681人评价,真实记录切尔诺贝利核灾难事件
157,鹿川有许多粪,https://book.douban.com/subject/35517022/,李沧东,武汉大学出版社,2021-8,58.00元,9.0,22064人评价, 
158,激荡三十年（上）,https://book.douban.com/subject/1970428/,吴晓波,中信出版社 浙江人民出版社,2007-1,35.00,8.8,30358人评价,这是一个最好的时代，也是一个最坏的时代
159,社会心理学,https://book.douban.com/subject/1476651/,[美] 戴维·迈尔斯,人民邮电出版社,2006-1,68.00元,9.0,25094人评价,人们是如何思索、影响他人并与他人建立联系的
160,我的阿勒泰,https://book.douban.com/subject/4884218/,李娟,云南人民出版社,2010-7,22.00元,8.9,24984人评价,描写疆北阿勒泰地区生活和风情的原生态散文集
161,草房子,https://book.douban.com/subject/1052990/,曹文轩,江苏少年儿童出版社,2009-6,18.00元,9.0,44936人评价,男孩桑桑刻骨铭心、终身难忘的六年小学生活
162,海风中失落的血色馈赠,https://book.douban.com/subject/26357614/,[加拿大] 阿利斯泰尔·麦克劳德,上海文艺出版社,2015-6-1,CNY 20.00,9.1,17846人评价,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟
163,倾城之恋,https://book.douban.com/subject/1985223/,张爱玲,北京十月文艺出版社,2006-12,29.80元,8.7,48856人评价,“一对平凡的夫妻”之间的“一点真心”
164,安娜·卡列尼娜,https://book.douban.com/subject/2253380/,[俄] 列夫·托尔斯泰,上海文艺出版社,2007-8,37.00元,9.2,23648人评价, 
165,天朝的崩溃,https://book.douban.com/subject/1675478/,茅海建,生活·读书·新知三联书店,2005-7,32.00元,9.2,13936人评价,鸦片战争再研究
166,麦琪的礼物,https://book.douban.com/subject/1051193/,[美] 欧·亨利,上海社会科学院出版社,2003-7,25.00元,8.7,72023人评价,日常的奇迹
167,始于极限,https://book.douban.com/subject/35966120/,[日] 上野千鹤子,新星出版社,2022-9-20,59,9.2,14127人评价, 
168,孩子你慢慢来,https://book.douban.com/subject/4207781/,龙应台,生活·读书·新知三联书店,2009-12-1,28.00元,8.7,76393人评价,我们现在怎样做母亲
169,恶意,https://book.douban.com/subject/26877752/,[日] 东野圭吾,南海出版公司,2016-11,39.50元,8.7,95973人评价, 
170,浮生六记,https://book.douban.com/subject/1088581/,（清）沈复,人民文学出版社,1999-1,38,8.7,65844人评价,苟不记之笔墨，未免有辜彼苍之厚
171,送你一颗子弹,https://book.douban.com/subject/4238362/,刘瑜,上海三联书店,2010-1,25.00元,8.6,139734人评价,在这本书里，被“审视”的东西杂七杂八
172,九州·缥缈录,https://book.douban.com/subject/1321017/,江南,新世界出版社,2005-6,20.00元,8.8,30593人评价,乱世的英雄史诗
173,额尔古纳河右岸,https://book.douban.com/subject/3311253/,迟子建,北京十月文艺出版社,2005-12,29.00元,9.0,22366人评价,东北少数民族鄂温克人生存现状及百年沧桑
174,万物有灵且美,https://book.douban.com/subject/4187411/,[英] 吉米·哈利,中国城市出版社,2010-1,28.80,8.9,21867人评价,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事
175,罗生门,https://book.douban.com/subject/3136271/,[日] 芥川龙之介,上海译文出版社,2008-7,12.00元,8.7,65061人评价,人生，远比地狱更像地狱
176,情书,https://book.douban.com/subject/1080370/,[日] 岩井俊二,天津人民出版社,2004-7,18.00元,8.6,102811人评价,一场同名同姓的误会，两段可贵的爱情
177,2001：太空漫游,https://book.douban.com/subject/30471298/,[英] 阿瑟·克拉克,上海文艺出版社,2019-5-10,62.00元,9.3,16918人评价, 
178,渴望生活,https://book.douban.com/subject/3054821/,[美] 欧文·斯通,北京十月文艺出版社,2008-4,29.80元,9.2,11230人评价,梵高悲惨而成就辉煌的人生
179,一桩事先张扬的凶杀案,https://book.douban.com/subject/24382569/,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2013-6,25.00元,8.7,41443人评价,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯
180,野火集,https://book.douban.com/subject/1426971/,龙应台,文汇出版社,2005-8,25.00元,8.8,34256人评价,中国人，你为什么不生气
181,尼罗河上的惨案,https://book.douban.com/subject/1818347/,[英] 阿加莎·克里斯蒂,人民文学出版社,2006-5,22.00元,8.7,46337人评价,阿加莎·克里斯蒂代表作
182,冰与火之歌,https://book.douban.com/subject/25826936/,乔治·马丁,重庆出版社,2013-10-1,330.00元,9.6,15851人评价,乔治·R·R·马丁史诗奇幻小说
183,理想国,https://book.douban.com/subject/1004821/,[古希腊] 柏拉图,商务印书馆,1986-8,28.00元,8.8,32990人评价,人类历史上最早的乌托邦
184,半生缘,https://book.douban.com/subject/1963684/,张爱玲,北京十月文艺出版社,2006-12,28.00元,8.6,79711人评价,世钧，我们回不去了
185,倚天屠龙记,https://book.douban.com/subject/1070851/,金庸,生活·读书·新知三联书店,1999-04,47.00,8.7,58288人评价,不识张郎是张郎
186,银河系漫游指南,https://book.douban.com/subject/1394364/,[英] 道格拉斯·亚当斯,四川科学技术出版社,2005-6,16.00元,8.8,21110人评价,一场穿越银河的冒险
187,你好，旧时光（上 下）,https://book.douban.com/subject/4166819/,八月长安,新世界出版社,2009-12,39.80元,8.7,46460人评价,原作名切题
188,孙子兵法,https://book.douban.com/subject/1949420/,孙武,上海古籍出版社,2006-7,20.00元,9.4,12031人评价,我国最古老最杰出的一部兵书
189,雨季不再来,https://book.douban.com/subject/2136140/,三毛,北京十月文艺出版社,2007-7,28.00元,8.7,52058人评价,三毛少女时代的成长感受
190,枪炮、病菌与钢铁,https://book.douban.com/subject/1813841/,[美] 贾雷德·戴蒙德,上海译文出版社,2006-4-1,45.00元,8.7,46407人评价,人类社会的命运
191,雷雨,https://book.douban.com/subject/1013416/,曹禺,人民文学出版社,1999-05,9.20,8.7,74308人评价,一幕人生大悲剧，在一个雷雨夜爆发
192,荒原狼,https://book.douban.com/subject/3131626/,[德]赫尔曼·黑塞,上海译文出版社,2008-7,13.00,9.0,19803人评价,“超现实主义”风格作品，德国的《尤利西斯》
193,最好的我们,https://book.douban.com/subject/24754316/,八月长安,湖南文艺出版社,2013-8-5,55,8.7,68965人评价,耿耿余淮
194,当呼吸化为空气,https://book.douban.com/subject/26896859/,[美] 保罗·卡拉尼什,浙江文艺出版社,2016-12,48.00元,8.9,25808人评价,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气
195,一千零一夜,https://book.douban.com/subject/1035848/,纳训,人民文学出版社,2003-01,22.00,8.7,55628人评价,阿拉伯地区的古代民间传说
196,天生有罪,https://book.douban.com/subject/30125030/,[南非] 特雷弗·诺亚,北京联合出版公司,2018-2-1,58.00,9.1,16116人评价, 
197,论语,https://book.douban.com/subject/1964774/,刘胜利,中华书局,2006-12,9.80元,9.1,21447人评价,仁远乎哉？我欲仁，斯仁至矣
198,解忧杂货店,https://book.douban.com/subject/25862578/,[日] 东野圭吾,南海出版公司,2014-5,39.50元,8.5,732442人评价,现代人内心流失的东西，这家杂货店能帮你找回
199,水浒传（全二册）,https://book.douban.com/subject/1008357/,[明] 施耐庵,人民文学出版社,1997-1,50.60元,8.7,72062人评价,替天行道
200,目送,https://book.douban.com/subject/3995526/,龙应台,生活·读书·新知三联书店,2009-10,39.00元,8.6,206610人评价,不必追
201,你一生的故事,https://book.douban.com/subject/26295448/,[美] 特德·姜,译林出版社,2015-5,36.00元,8.7,32455人评价,特德·姜科幻小说集
202,总统是靠不住的,https://book.douban.com/subject/1056315/,林达,生活·读书·新知三联书店,2004-08,21.80,8.8,20125人评价,美国政治法律制度的基本原理和操作细节
203,银河帝国：基地七部曲,https://book.douban.com/subject/26389895/,[美] 艾萨克·阿西莫夫,江苏凤凰文艺出版社,2015-10-1,328.00元,9.5,12818人评价,阿西莫夫经典科幻小说
204,亲爱的安德烈,https://book.douban.com/subject/3369793/,龙应台,人民文学出版社,2008-12,26.00,8.6,118695人评价,弭平代沟，跨越文化阻隔
205,顾城的诗,https://book.douban.com/subject/1033825/,顾城,人民文学出版社,1998-12,20.00,8.8,24634人评价,火焰是我们诗歌唯一的读者
206,从零开始的女性主义,https://book.douban.com/subject/35523099/,[日本] 上野千鹤子,北京联合出版公司,2021-9,52.00元,8.7,45226人评价, 
207,象棋的故事,https://book.douban.com/subject/2158684/,[奥] 斯蒂芬·茨威格,上海译文出版社,2007-7,23.00元,9.1,11929人评价,纳粹法西斯对人心灵的折磨及摧残
208,雕刻时光,https://book.douban.com/subject/26435510/,[苏] 安德烈·塔可夫斯基,南海出版公司,2016-5,45.00元,9.5,7285人评价, 
209,认识电影,https://book.douban.com/subject/2326403/,[美] 路易斯·贾内梯,世界图书出版公司,2007-11,68.00元,8.9,17647人评价,电影入门经典之作
210,上学记,https://book.douban.com/subject/1859140/,何兆武 口述,生活·读书·新知三联书店,2006-8,19.80元,8.9,13701人评价,20世纪中国知识分子的心灵史
211,二手时间,https://book.douban.com/subject/26704403/,[白俄] S. A. 阿列克谢耶维奇,中信出版社,2016-1,55.00元,8.9,21502人评价,用最为细小的马赛克拼出了一幅完整的后苏联时代图景
212,众病之王,https://book.douban.com/subject/20507206/,[美] 悉达多·穆克吉,中信出版社,2013-2,42.00元,9.1,12201人评价,癌症传
213,庄子,https://book.douban.com/subject/2046236/,孙通海 译注,中华书局,2007-04,20.00元,9.4,10424人评价,野马也，尘埃也，生物之以息相吹也
214,荆棘鸟,https://book.douban.com/subject/1086249/,[澳] 考琳·麦卡洛,译林出版社,1998-7,28.00元,8.6,50859人评价,澳洲乱世情
215,青铜时代,https://book.douban.com/subject/1085883/,王小波,花城出版社,1997-5,29.00元,8.8,25534人评价,唐人传奇贯注现代情趣
216,火星救援,https://book.douban.com/subject/26586492/,[美]安迪•威尔,译林出版社,2015-10,38.00,8.9,17856人评价,跟火星来一场不是你死就是我活的过家家游戏
217,现代艺术150年,https://book.douban.com/subject/26854318/,[英] 威尔·贡培兹,广西师范大学出版社,2017-3-1,65.00元,9.1,12760人评价, 
218,一间只属于自己的房间,https://book.douban.com/subject/34835082/,[英] 弗吉尼亚·伍尔夫,天津人民出版社,2019-10,45.00元,9.2,14154人评价, 
219,地下室手记,https://book.douban.com/subject/34990839/,[俄] 陀思妥耶夫斯基,浙江文艺出版社,2020-5,39.8,9.3,13153人评价, 
220,骆驼祥子,https://book.douban.com/subject/1043815/,老舍,人民文学出版社,2000-3-1,12.00,8.6,192579人评价,旧中国老北京贫苦市民的典型命运
221,毛姆短篇小说精选集,https://book.douban.com/subject/10774752/,[英] 威廉·萨默塞特·毛姆,译林出版社,2012-11,36.00元,9.1,11715人评价,在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧
222,中国哲学简史,https://book.douban.com/subject/1021273/,冯友兰,新世界出版社,2004-1,38.00元,8.9,19016人评价,中国哲学入门书
223,从一到无穷大,https://book.douban.com/subject/1102715/,[美] G. 伽莫夫,科学出版社,2002-11,29.00元,9.1,13095人评价,科学中的事实和臆测
224,规训与惩罚,https://book.douban.com/subject/1012307/,[法] 米歇尔·福柯,生活·读书·新知三联书店,2003-1,21.80元,9.3,9550人评价,伴随着惩罚的人性化，自由反而日益丧失了
225,不存在的骑士,https://book.douban.com/subject/6789551/,[意] 伊塔洛·卡尔维诺,译林出版社,2012-4,22.00元,8.9,18813人评价, 
226,金锁记,https://book.douban.com/subject/3017857/,张爱玲,哈尔滨出版社,2005-6,13.5元,8.6,59546人评价,一个小商人家庭出身的女子曹七巧的心灵变迁历程
227,香水,https://book.douban.com/subject/3815125/,[德] 帕·聚斯金德,上海译文出版社,2009-6,25.00元,8.9,20236人评价, 
228,此生未完成,https://book.douban.com/subject/6397275/,于娟,湖南科学技术出版社,2011-5,26.00元,8.8,22122人评价,一个母亲、妻子、女儿的生命日记
229,正见,https://book.douban.com/subject/1963912/,宗萨蒋扬钦哲仁波切,中国友谊出版公司,2007-1,25.00元,8.8,16807人评价,佛陀的证悟
230,时间的秩序,https://book.douban.com/subject/33424487/,[意] 卡洛·罗韦利,湖南科学技术出版社,2019-6,56.00元,8.9,19152人评价, 
231,亲密关系（第6版）,https://book.douban.com/subject/26585065/,[美] 罗兰·米勒 (Rowland S. Miller),人民邮电出版社,2015-6,138.00元,9.3,18673人评价, 
232,平面国,https://book.douban.com/subject/35170896/,[英] 埃德温·A·艾勃特,上海文化出版社,2020-8,39.80元,9.2,12062人评价, 
233,了不起的盖茨比,https://book.douban.com/subject/10738023/,[美] 斯科特·菲茨杰拉德,南海出版公司,2012-5,25.00元,8.7,48599人评价, 
234,如彗星划过夜空,https://book.douban.com/subject/1762869/,林达,生活·读书·新知三联书店,2006-3,21.00元,8.9,11284人评价, 
235,繁花,https://book.douban.com/subject/22714154/,金宇澄,上海文艺出版社,2013-3,48.00元,8.7,31858人评价,海上繁花，请静观静读
236,步履不停,https://book.douban.com/subject/26963321/,[日] 是枝裕和,北京联合出版公司,2017-5,36.80元,8.7,38006人评价,人生路上，步履不停，总有那么一点来不及
237,东晋门阀政治,https://book.douban.com/subject/10758290/,田余庆,北京大学出版社,2012-5,49.00元,9.5,9341人评价, 
238,被讨厌的勇气,https://book.douban.com/subject/26369699/,岸见一郎,机械工业出版社,2015-3-1,39.8,8.6,109813人评价, 
239,黑箱,https://book.douban.com/subject/30484795/,[日]伊藤诗织,中信出版集团,2019-4,48.00元,8.9,19646人评价, 
240,哈姆莱特,https://book.douban.com/subject/1006197/,[英] 莎士比亚,人民文学出版社,2001-1,7.00元,8.7,46302人评价,生存还是毁灭，这是一个值得思考的问题
241,会饮篇,https://book.douban.com/subject/21570668/,[古希腊] 柏拉图,商务印书馆,2013-1,12.00元,9.3,9514人评价, 
242,显微镜下的大明,https://book.douban.com/subject/30414743/,马伯庸,湖南文艺出版社,2019-1,52.00元,8.8,29032人评价, 
243,夏洛的网,https://book.douban.com/subject/1036274/,[美] E.B.怀特,上海译文出版社,2004-5,17.00元,8.6,66399人评价,一个蜘蛛和小猪的故事，写给孩子，也写给大人
244,黑客与画家,https://book.douban.com/subject/6021440/,[美] Paul Graham,人民邮电出版社,2011-4,49.00元,8.7,22399人评价,硅谷创业之父Paul Graham文集
245,如父如子,https://book.douban.com/subject/27611824/,[日] 是枝裕和,湖南文艺出版社,2018-4,49.80,8.9,24542人评价, 
246,西线无战事,https://book.douban.com/subject/35272817/,[德] 埃里希·玛丽亚·雷马克,上海文艺出版社,2021-1,49,9.5,10155人评价, 
247,民主的细节,https://book.douban.com/subject/3813669/,刘瑜,上海三联书店,2009-6,25.00,8.5,74867人评价,公民养成手册
248,稻草人手记,https://book.douban.com/subject/3607117/,三毛,北京十月文艺出版社,2009-3,18.00元,8.9,19319人评价,三毛在加纳利群岛上的生活
249,消失的13级台阶,https://book.douban.com/subject/34996429/,[日] 高野和明,上海文艺出版社,2020-5-15,42.00元,8.6,75645人评价, 
250,分成两半的子爵,https://book.douban.com/subject/10555486/,[意] 伊塔洛·卡尔维诺,译林出版社,2012-4-1,20.00元,8.8,21308人评价, 
251,给青年诗人的信,https://book.douban.com/subject/26685994/,[奥] 里尔克,云南人民出版社,2015-12,29.00元,9.0,11996人评价, 
252,牡丹亭,https://book.douban.com/subject/1073708/,汤显祖,人民文学出版社,1963-4-1,14.50元,9.0,13118人评价,不到园林，怎知春色如许
253,社会契约论,https://book.douban.com/subject/1277981/,[法] 卢梭,商务印书馆,2003-2-1,18.00元,8.9,18413人评价,一个国家只能有一个契约
254,狂热分子,https://book.douban.com/subject/3057556/,[美] 埃里克·霍弗,广西师范大学出版社,2011-6,34.00元,8.8,14648人评价,探讨群众运动的共有特征
255,檀香刑,https://book.douban.com/subject/26905337/,莫言,浙江文艺出版社,2017-1,56.00元,9.3,19208人评价, 
256,张爱玲文集,https://book.douban.com/subject/1004992/,张爱玲,安徽文艺出版社,1992年,45元,8.9,15201人评价, 
257,牧羊少年奇幻之旅,https://book.douban.com/subject/3608208/,[巴西] 保罗·柯艾略,南海出版公司,2009-3-1,25.00元,8.5,151848人评价,你自己就是最大的宝藏
258,金阁寺,https://book.douban.com/subject/3391248/,[日] 三岛由纪夫,上海译文出版社,2009-1,24.00,8.7,33423人评价,他的犯罪动机是对美的嫉妒
259,天真的人类学家,https://book.douban.com/subject/6712255/,[英国] 奈吉尔·巴利,广西师范大学出版社,2011-7,35.00元,8.9,13357人评价, 
